timestamp,month,day,year,time,age,mar,sex,chi,cou,urb,edu,med,wor,sec,occ,foc,hom,iin,hin,srh,dan,gov,hyg,cre,int,anc,sto,chr,cov,n,sur1,sur2,sur3,sur4,sur5,sur6,sur7,sur8,sur9,sur10,sur11,sur12,sur13,sur14,sur15,sur16,sur17,sur18,sur19,sur20,sur21,sur22,sur23,sur24,sur25,sur26,sur27,sur28,sur29,sur30,age_n,mar_n,sex_n,chi_n,ucbs,ist,urb_n,edu_n,med_n,wor_n,sec_n,occ_n,foc_n,hom_n,iin_n,hin_n,srh_n,sto_n,chr_n,cov_n,int_n,dan_n,gov_n,hyg_n,cre_n,sur1_n,sur2_n,sur3_n,sur4_n,sur5_n,sur6_n,sur7_n,sur8_n,sur9_n,sur10_n,sur11_n,sur12_n,sur13_n,sur14_n,sur15_n,sur16_n,sur17_n,sur18_n,sur19_n,sur20_n,surA,surAD,sur21_n,sur22_n,sur23_n,sur24_n,sur25_n,sur26_n,sur27_n,sur28_n,sur29_n,sur30_n,surB,surBD
11/07/2020 21:44,11,7,2020,21:44:11,19,Single,Female,I have no children.,İSTANBUL,Urban,Two-year degree or equivalent,Primary school,Full-time employee,Service,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)","Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",No,1500 - 3000,1500 - 3000,Good,I don't know; I'm uncertain,"No, I don't think",Increased,Increased a lot,Increased,Yes,No,Yes,No,No,Low,Low,,Low,Low,,Moderate,,Low,,Moderate,,,,,Low,Low,,,,Moderately,A little,Quite a bit,A little,Extremely,Quite a bit,Very slightly or not at all,Moderately,Moderately,Very slightly or not at all,1,1,2,1,2,2,2,4.0,1.0,8,6,5,7,2.0,2,2,4,0,1,0,2,3,4,2,1,2,2,0,2,2,0,3,0,2,0,3,0,0,0,0,2,2,0,0,0,20,1,2,1,3,1,4,3,0,2,2,0,18,0
11/11/2020 20:14,11,11,2020,20:14:31,34,Single,Female,I have no children.,İSTANBUL,Urban,"Postgraduate Education (Master's, Doctorate)",High school,Student,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",No,6000 - 12000,6000 - 12000,Good,I definitely think so,I don't know; I'm uncertain,Increased,Increased,Increased,Yes,No,Yes,No,Yes (3 kere),Low,Low,,,Moderate,,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,A little,A little,A little,A little,Very slightly or not at all,A little,A little,A little,A little,A little,2,1,2,1,2,2,2,6.0,3.0,6,3,2,2,2.0,4,4,4,0,1,0,2,1,3,2,2,2,2,0,0,3,0,3,2,2,2,2,2,2,2,2,2,2,0,2,2,34,1,1,1,1,1,0,1,1,1,1,1,9,1
11/14/2020 7:16:43,11,14,2020,07:16:43,31,Married,Female,I have no children.,İSTANBUL,Urban,"Postgraduate Education (Master's, Doctorate)",Graduate,Full-time employee,Other,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Partially,12000 - 24000,12000 - 24000,Very good,I don't know; I'm uncertain,"No, I don't think",Increased,Same,Increased,Yes,No,No,No,No,Moderate,Low,,,Moderate,,Low,Moderate,,Moderate,Moderate,,,,Moderate,Moderate,,,Low,Moderate,Quite a bit,Very slightly or not at all,Very slightly or not at all,Quite a bit,Extremely,Quite a bit,Quite a bit,Quite a bit,Very slightly or not at all,Extremely,2,2,2,1,2,2,2,6.0,5.0,8,7,2,2,3.0,5,5,5,0,0,0,2,3,4,2,3,3,2,0,0,3,0,2,3,0,3,3,0,0,0,3,3,0,0,2,3,30,1,3,0,0,3,4,3,3,3,0,4,23,0
11/15/2020 22:42:31,11,15,2020,22:42:31,20,Single,Man,I have no children.,İSTANBUL,Urban,Graduate,Primary school,Student,Education,,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)",Yes,3000 - 6000,3000 - 6000,Neither good nor bad,I definitely think so,"Yes, I think",Increased,Decreased a lot,Increased a lot,Yes,Yes,Yes,Yes,Yes (3 kere),High,Moderate,,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,,,,Low,Low,,,,,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,1,1,1,1,2,2,2,5.0,1.0,6,3,9999,5,1.0,3,3,3,1,1,1,1,1,2,2,5,4,3,0,3,2,2,3,2,2,2,3,0,0,0,2,2,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,1
11/16/2020 12:14:52,11,16,2020,12:14:52,35,Single,Female,I have no children.,ADANA,Urban,"Postgraduate Education (Master's, Doctorate)",High school,Full-time employee,Industry,"Executives (Senior Officials and Legislators, Administrative and Commercial Executives, etc)","Executives (Senior Officials and Legislators, Administrative and Commercial Executives, etc)",No,6000 - 12000,6000 - 12000,Neither good nor bad,"Yes, I think","No, I don't think",Same,Same,Same,Yes,No,Yes,No,No,Low,Low,Low,,Low,Low,Moderate,,Moderate,,High,Low,,,,,,,,,A little,A little,A little,Very slightly or not at all,A little,A little,A little,A little,A little,A little,3,1,2,1,2,2,2,6.0,3.0,8,5,1,1,2.0,4,4,3,0,1,0,3,2,4,3,3,2,2,2,0,2,2,3,0,3,0,4,2,0,0,0,0,0,0,0,0,22,1,1,1,1,0,1,1,1,1,1,1,9,1
11/16/2020 13:07:56,11,16,2020,13:07:56,34,Single,Female,I have no children.,SAKARYA,Urban,"Postgraduate Education (Master's, Doctorate)",Two-year degree or equivalent,Unpaid family worker (Doing housework etc),Other,,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",,3000 - 6000,3000 - 6000,Neither good nor bad,I don't know; I'm uncertain,"No, I don't think",Same,Same,Same,Yes,Yes,Yes,No,No,Low,,Low,Low,Low,Low,Moderate,,Moderate,Low,Low,Low,Low,Moderate,,Low,Low,,,Low,Moderately,Moderately,Moderately,Moderately,A little,A little,A little,A little,Quite a bit,A little,2,1,2,1,2,2,2,6.0,4.0,4,7,9999,2,,3,3,3,1,1,0,3,3,4,3,3,2,0,2,2,2,2,3,0,3,2,2,2,2,3,0,2,2,0,0,2,33,1,2,2,2,2,1,1,1,1,3,1,16,1
11/16/2020 13:36:32,11,16,2020,13:36:32,36,Married,Man,"I have a child/children in the 2-6 age range., I have a child/children in the 6-13 age range.",İSTANBUL,Urban,"Postgraduate Education (Master's, Doctorate)",Primary school,Full-time employee,Service,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Yes,6000 - 12000,3000 - 6000,Good,"Yes, I think",I don't know; I'm uncertain,Increased,Same,Same,Yes,No,Yes,No,Yes (2 kere),Moderate,Moderate,,,High,,,Moderate,,Moderate,High,,,,Moderate,Moderate,,,Moderate,Moderate,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,3,2,1,0,2,2,2,6.0,1.0,8,6,2,2,1.0,4,3,4,0,1,0,3,2,3,2,3,3,3,0,0,4,0,0,3,0,3,4,0,0,0,3,3,0,0,3,3,32,1,0,0,0,0,0,0,0,0,0,0,0,1
11/16/2020 13:38:34,11,16,2020,13:38:34,23,Single,Female,I have no children.,İSTANBUL,Urban,Graduate,High school,Full-time employee,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Technicians, and auxiliary professional groups (Science, Engineering, Business and Management Assistant Specialist, Health and Legal Specialists, etc)",Partially,1500 - 3000,3000 - 6000,Good,I definitely think so,"No, I don't think",Increased,Same,Increased,Yes,Yes,Yes,Yes,No,,,Moderate,,Low,Low,High,,Moderate,,Low,Moderate,Low,Low,,,Moderate,Low,,,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,Quite a bit,Quite a bit,2,1,2,1,2,2,2,5.0,3.0,8,3,2,3,3.0,2,3,4,1,1,1,2,1,4,2,3,0,0,3,0,2,2,4,0,3,0,2,3,2,2,0,0,3,2,0,0,28,1,0,2,3,0,0,3,0,0,3,3,14,1
11/16/2020 13:39:09,11,16,2020,13:39:09,22,Single,Female,I have no children.,SİVAS,Rural,Graduate,Primary school,Student,Education,,"Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)",,3000 - 6000,1500 - 3000,Kötü,"Yes, I think",I definitely don't think so,Same,Same,Increased a lot,Yes,Yes,No,Yes,No,Low,Low,Low,,Low,Low,Low,,Low,,Low,,,,,Low,Low,,,Low,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Extremely,Moderately,A little,2,1,2,1,2,2,1,5.0,1.0,6,3,9999,9,,3,2,0,1,0,1,1,2,5,3,3,2,2,2,0,2,2,2,0,2,0,2,0,0,0,0,2,2,0,0,2,22,1,2,0,0,0,0,0,0,4,2,1,9,1
11/16/2020 13:39:15,11,16,2020,13:39:15,22,Single,Female,I have no children.,ESKİŞEHİR,Urban,Graduate,Graduate,Part-time employee,Service,,"Staff working in office services (Clerks, Customer Service Officers, Digital and Material Registrars, etc)",No,0 - 1500,0 - 1500,Good,I definitely think so,I definitely don't think so,Increased a lot,Increased a lot,Increased,Yes,No,No,No,No,,,Moderate,Low,,High,High,,High,,Low,High,High,High,,,High,,,,Extremely,Very slightly or not at all,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Moderately,Extremely,2,1,2,1,2,2,2,5.0,5.0,7,6,9999,4,2.0,1,1,4,0,0,0,2,1,5,1,1,0,0,3,2,0,4,4,0,4,0,2,4,4,4,0,0,4,0,0,0,35,1,4,0,4,4,4,4,4,4,2,4,34,0
